,date,topic_106,topic_116,topic_119,topic_123,topic_142,topic_150,topic_159,topic_160,topic_177,topic_182,topic_22,topic_222,topic_237,topic_3,topic_35,topic_41,topic_43,topic_48,topic_49,topic_53,topic_6,topic_63,topic_67,topic_69,topic_74,topic_76,topic_78,topic_96,topic_99
60,2018-03-26,-0.010015992447733879,,,-0.5358227016404271,,-0.5819891914725304,,,,,-0.027954332530498505,0.009134454652667046,0.04132350883446634,-0.30712247965857387,,,,0.03094349056482315,-0.1428744620643556,,-0.0044441287172958255,,,,-0.24181056348606944,-0.12162775592878461,0.07864757813513279,,0.23197418358176947
61,2018-03-27,0.005527641624212265,,,,,,,,,-0.3770145867019892,-0.38435640434424084,0.03608118509873748,0.35403711069375277,,-0.7563973516225815,-0.4292015703395009,,-0.7395578324794769,0.8774357698857784,,-0.49922657292336226,,,-0.9578847913071513,0.1294865421950817,-0.03693568892776966,,,0.17192382970824838
62,2018-03-28,0.020552340894937515,0.7368276780471206,,-0.3185276575386524,,,,,,,-0.4695761548355222,0.03713988264401754,,,,-0.335851434385404,,,,,-0.3363957677502185,-0.8369741200003773,,-0.9608899494633079,,,-0.27891178739567596,,0.3754258444532752
63,2018-03-29,0.03153757378458977,-0.013753499835729599,,-0.37139257695525885,0.03626958467066288,,0.06539602298289537,,-0.8357944115996361,,-0.24245417607016861,,,0.3253086917102337,,,,,,,-0.7877619755454361,,,-0.7684271186590195,-0.2436831220984459,0.049873518757522106,0.08778793457895517,-0.4611892281100154,0.2316811690106988
64,2018-03-30,0.16140358289703727,0.0200443584471941,-0.684248324483633,,-0.2456025928258896,,,-0.001280627679079771,,-0.4341772850602865,,,,,,,,,-0.2250901162624359,,0.9291894324123859,,,,,,,0.11005196906626225,
65,2018-04-02,,0.046613591723144054,,,0.013869140995666385,0.6590143293142319,,,-0.9527053609490395,-0.344636594876647,,,,,,,,,,,-0.8424081224948168,,,-0.9546528970822692,,,0.10598278511315584,,
66,2018-04-03,0.08706098201218992,,-0.6406301613897085,-0.4370198380202055,,,,,-0.9510431122034788,,-0.11044784790525834,,,,-0.864001496694982,,,,-0.12469481024891138,,,,,,,,0.03284583054482937,,0.506043454632163
67,2018-04-04,0.11092583928257227,,,0.12796875555068254,,-0.06826377753168344,,,,,,,,0.9242589734494686,,-0.21758917719125748,,-0.5935327934566885,-0.9368980340659618,,-0.8117971371393651,,,-0.9613024089485407,-0.6776142045855522,0.044335110578686,,,-0.5626590400934219
68,2018-04-05,0.03196251764893532,,,-0.6762194223701954,,,,,,,-0.602210889570415,0.04476415133103728,,0.8283137232065201,-0.11658532917499542,-0.12466912623494864,,,-0.18141809664666653,,,0.9150245878845453,0.24663215782493353,0.07728104032576084,,0.002060506803294023,0.9200212741270661,-0.9138732086867094,0.19000899605453014
69,2018-04-06,,0.0428443793207407,-0.6136553259566426,,,,0.04045539069920778,-0.047930942848324776,0.8584654778242111,,-0.25716658867895603,0.04165524709969759,,,,,-0.15129872597754002,-0.1714585330337286,-0.9603683799505234,,-0.9323829445056617,,,-0.9590599820949137,,,,-0.9565613502636552,
